No.	名前	読み	Name	セット	コスト	コスト(int)	ポーション	借金	分類	種類	勝利点	+card	+action	+buy	+coin	+VPtoken	能力	Ability	説明
1	銅貨	どうか	Copper	基本	0	0	0	0	基本	Treasure	0	0	0	0	1	0	【能力】1コイン。	【Ability】Worth 1 coins	【説明】60枚使用。開始前に各プレイヤーに7枚ずつ配る。（メモ）※「銅貨」はサプライに含む。
2	銀貨	ぎんか	Silver	基本	3	3	0	0	基本	Treasure	0	0	0	0	2	0	【能力】2コイン。	【Ability】Worth 2 coins	【説明】40枚使用。（メモ）※「銅貨」はサプライに含む。
3	金貨	きんか	Gold	基本	6	6	0	0	基本	Treasure	0	0	0	0	3	0	【能力】3コイン。	【Ability】Worth 3 coins	【説明】30枚使用。（メモ）※「金貨」はサプライに含む。
4	屋敷	やしき	Estate	基本	2	2	0	0	基本	Victory	1	0	0	0	0	0	【能力】1勝利点。	【Ability】1 VP	【説明】2人プレイ： 8枚使用。3〜6人プレイ：12枚使用。開始前に各プレイヤーに3枚ずつ配る。（メモ）※「屋敷」はサプライに含む。
5	公領	こうりょう	Duchy	基本	5	5	0	0	基本	Victory	3	0	0	0	0	0	【能力】3勝利点。	【Ability】3 VP	【説明】2人プレイ： 8枚使用。3〜6人プレイ：12枚使用。（メモ）※「公領」はサプライに含む。
6	属州	ぞくしゅう	Province	基本	8	8	0	0	基本	Victory	6	0	0	0	0	0	【能力】6勝利点。	【Ability】6 VP	【説明】2人プレイ： 8枚使用。3〜4人プレイ：12枚使用。 5人プレイ：15枚使用。 6人プレイ：18枚使用。（メモ）※「属州」はサプライに含む。
7	呪い	のろい	Curse	基本	0	0	0	0	呪い	Curse	-1	0	0	0	0	0	【能力】-1勝利点。	【Ability】-1 VP	【説明】2人プレイ：10枚使用。3人プレイ：20枚使用。4人プレイ：30枚使用。5人プレイ：40枚使用。6人プレイ：50枚使用。（メモ）※「呪い」はサプライに含む。
8	市場	いちば	Market	基本	5	5	0	0	王国	Action	0	1	1	1	1	0	【能力】+1カードを引く。+1アクション。+1カードを購入。+1コイン。	【Ability】+1 Card+1 Action+1 Buy+1 Coin	【説明】カードを1枚引く。自分のアクションフェイズに、アクションカードをもう1枚使用できる。自分の購入フェイズに、サプライにあるカードをもう1枚購入でき、使う財宝カードの合計コイン数に、追加で1コイン加えることができる。（メモ）
9	改築	かいちく	Remodel	基本	4	4	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの手札のカード1枚を廃棄する。廃棄したカードよりコストが最大2コイン多いカード1枚を獲得する。	【Ability】Trash a card from your hand.Gain a card costing up to 2 Coins more than the trashed card.	【説明】解決時には「改築」のカード自身は手札にないため、「改築」のカード自身を廃棄することはできない。別の「改築」のカードが手札にあれば、それを廃棄することは可能である。廃棄するカードが手札にない場合は、「改築」によるカードを獲得することができない。獲得したカードは、自分の捨て札置き場に置く。サプライにあるカードのみ獲得可能である。獲得するカードは、廃棄したカードより正確にコストが2コイン分多い必要はなく、同じコストや少ないカードも獲得できる。財宝やアクションカード（「市場」など）を使用して、コインを増やして獲得するカードのコストを増やすことはできない。廃棄したカードと同じカードを獲得することは可能である。（メモ）※手札に廃棄するカードが1枚もない場合、廃棄はできない。その場合、獲得は発生しない。これは無意味な行為となるのですべきではない。※1枚廃棄した後の1枚獲得は強制であり、獲得できるコストのカードがサプライに1枚でもある場合は、それを獲得しなければならない。しかし獲得できるコストのカードがサプライに1枚もない場合、何も獲得できない。1枚廃棄だけで「改築」のアクションは完了となる。※コストにポーションのあるカード（「大学」「念視の泉」「使い魔」「変成」「薬師」「ブドウ園」「賢者の石」「錬金術師」「ゴーレム」「支配」）を獲得するためには、コストにポーションのあるカードを廃棄しなければならない。
10	鍛冶屋	かじや	Smithy	基本	4	4	0	0	王国	Action	0	3	0	0	0	0	【能力】+3カードを引く。	【Ability】+3 Cards	【説明】カードを3枚引く。（メモ）
